instrument,tile,saturated,sat_onset_mag,sat_peak_level,n_peak_saturated,n_saturated_excluded,zp_ab,created_utc
hst_acs_f814w,A1,yes,19.0,39.5627,71,185,25.9517,2026-06-08T20:05:39Z
hst_acs_f814w,A10,yes,19.0,38.5212,77,149,25.9515,2026-06-08T20:45:45Z
hst_acs_f814w,A2,yes,19.0,39.1089,84,204,25.9518,2026-06-08T20:07:04Z
hst_acs_f814w,A3,yes,19.0,38.6673,86,255,25.9519,2026-06-08T20:14:01Z
hst_acs_f814w,A4,yes,19.0,39.4525,67,191,25.9519,2026-06-08T20:18:53Z
hst_acs_f814w,A5,yes,19.0,39.2213,73,148,25.9517,2026-06-08T20:22:39Z
hst_acs_f814w,A6,yes,19.0,37.7752,84,165,25.9513,2026-06-08T20:30:24Z
hst_acs_f814w,A7,yes,19.0,38.6086,117,225,25.9514,2026-06-08T20:30:45Z
hst_acs_f814w,A8,yes,19.0,38.5495,72,136,25.9516,2026-06-08T20:38:21Z
hst_acs_f814w,A9,yes,19.0,39.5183,80,156,25.9517,2026-06-08T20:45:10Z
hst_acs_f814w,B1,yes,19.0,38.3034,70,193,25.9514,2026-06-08T20:46:17Z
hst_acs_f814w,B10,yes,18.5,39.2614,68,153,25.9518,2026-06-08T21:38:21Z
hst_acs_f814w,B2,yes,19.0,38.3362,74,254,25.9516,2026-06-08T21:02:20Z
hst_acs_f814w,B3,yes,19.0,37.5063,102,244,25.9516,2026-06-08T21:02:09Z
hst_acs_f814w,B4,yes,18.5,39.8432,54,91,25.9516,2026-06-08T20:57:27Z
hst_acs_f814w,B5,yes,21.377,,0,76,25.9515,2026-06-08T21:09:49Z
hst_acs_f814w,B6,yes,19.0,38.8042,67,192,25.9516,2026-06-08T21:15:35Z
hst_acs_f814w,B7,yes,18.5,39.6618,75,307,25.9518,2026-06-08T21:26:43Z
hst_acs_f814w,B8,yes,19.0,39.194,69,254,25.9519,2026-06-08T21:38:51Z
hst_acs_f814w,B9,yes,19.0,38.2988,57,142,25.9519,2026-06-08T21:32:53Z
euclid_vis,101538497,no,,,0,233,24.5,2026-06-08T19:24:49Z
euclid_vis,101538498,no,,,0,807,24.5,2026-06-08T19:25:10Z
euclid_vis,101538499,no,,,0,2282,24.5,2026-06-08T19:26:56Z
euclid_vis,101538500,no,,,0,13,24.5,2026-06-08T19:24:45Z
euclid_vis,101539933,no,,,0,43,24.5,2026-06-08T19:24:43Z
euclid_vis,101539934,no,,,0,595,24.5,2026-06-08T19:24:59Z
euclid_vis,101539935,no,,,0,534,24.5,2026-06-08T19:26:44Z
euclid_vis,101539936,yes,15.5,476.1366,5,997,24.5,2026-06-08T19:27:17Z
euclid_vis,101539937,no,,,0,723,24.5,2026-06-08T19:27:12Z
euclid_vis,101539938,yes,18.752,,0,48,24.5,2026-06-08T19:27:01Z
euclid_vis,101539939,yes,15.5,509.2732,12,130,24.5,2026-06-08T19:28:06Z
euclid_vis,101539940,no,,,0,162,24.5,2026-06-08T19:27:48Z
euclid_vis,101541373,no,,,0,299,24.5,2026-06-08T19:27:36Z
euclid_vis,101541374,no,,,0,3293,24.5,2026-06-08T19:30:02Z
euclid_vis,101541375,yes,19.204,,0,52,24.5,2026-06-08T19:29:24Z
euclid_vis,101541376,yes,16.0,487.0241,10,36,24.5,2026-06-08T19:29:40Z
